Itr_id CO2         cost       
  2361 6.99398e+08 1.00138e+08
  2362 1.16690e+08 1.15961e+08
  2363 1.74845e+09 9.14615e+07
  2364 1.56070e+09 9.35363e+07
  2365 1.50874e+09 9.23955e+07
  2366 1.59743e+09 9.21464e+07
  2367 1.63694e+09 9.18216e+07
  2368 1.67929e+09 9.15898e+07
  2369 1.54157e+09 9.20812e+07
  2370 1.46099e+09 9.31052e+07
  2371 1.37653e+09 9.35904e+07
  2372 1.41376e+09 9.46211e+07
  2373 1.36125e+09 9.46116e+07
  2374 1.32444e+09 9.72820e+07
  2375 1.04787e+09 1.01739e+08
  2376 8.82501e+08 1.46474e+08
  2377 1.05139e+09 9.92788e+07
  2378 1.18278e+09 1.03372e+08
  2379 1.14729e+09 1.05189e+08
  2380 8.29317e+08 1.16353e+08
  2381 8.29317e+08 1.16353e+08
  2382 2.67858e+08 1.15884e+08
  2383 8.30956e+08 1.73345e+08
  2384 8.06636e+08 1.16572e+08
  2385 1.74845e+09 9.96890e+07
  2386 5.22705e+08 1.14578e+08
  2387 8.30956e+08 1.73345e+08
  2388 7.82803e+08 1.04661e+08
  2389 2.51656e+08 1.14866e+08
  2390 2.90583e+08 1.24228e+08
  2391 2.90583e+08 1.20320e+08
  2392 2.90583e+08 1.20320e+08
  2393 1.16690e+08 1.15035e+08
